X,Y,OBJECTID,FUEL_TYPE_CODE,STATION_NAME,STREET_ADDRESS,INTERSECTION_DIRECTIONS,CITY,STATE,ZIP,PLUS4,STATION_PHONE,STATUS_CODE,EXPECTED_DATE,GROUPS_WITH_ACCESS_CODE,ACCESS_DAYS_TIME,CARDS_ACCEPTED,BD_BLENDS,NG_FILL_TYPE_CODE,NG_PSI,EV_LEVEL1_EVSE_NUM,EV_LEVEL2_EVSE_NUM,EV_DC_FAST_COUNT,EV_OTHER_INFO,EV_NETWORK,EV_NETWORK_WEB,GEOCODE_STATUS,LATITUDE,LONGITUDE,DATE_LAST_CONFIRMED,ID,UPDATED_AT,OWNER_TYPE_CODE,FEDERAL_AGENCY_ID,FEDERAL_AGENCY_NAME,OPEN_DATE,HYDROGEN_STATUS_LINK,NG_VEHICLE_CLASS,LPG_PRIMARY,E85_BLENDER_PUMP,EV_CONNECTOR_TYPES,COUNTRY,INTERSECTION_DIRECTIONS_FRENCH,ACCESS_DAYS_TIME_FRENCH,BD_BLENDS_FRENCH,GROUPS_WITH_ACCESS_CODE_FRENCH,HYDROGEN_IS_RETAIL,ACCESS_CODE,ACCESS_DETAIL_CODE,FEDERAL_AGENCY_CODE,FACILITY_TYPE,CNG_DISPENSER_NUM,CNG_ON_SITE_RENEWABLE_SOURCE,CNG_TOTAL_COMPRESSION_CAPACITY,CNG_STORAGE_CAPACITY,LNG_ON_SITE_RENEWABLE_SOURCE,E85_OTHER_ETHANOL_BLENDS,EV_PRICING,EV_PRICING_FRENCH,LPG_NOZZLE_TYPES,HYDROGEN_PRESSURES,HYDROGEN_STANDARDS,CNG_FILL_TYPE_CODE,CNG_PSI,CNG_VEHICLE_CLASS,LNG_VEHICLE_CLASS,EV_ON_SITE_RENEWABLE_SOURCE,RESTRICTED_ACCESS,LATDD,LONGDD
-11211752.5751,5447958.6642,16017,ELEC,Range Country Lodging - Tesla Supercharger,302 W 5th St.,,Murdo,SD,57559,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-8,43.886915,-100.716887,2021/10/11 00:00:00+00,102408,2021/11/04 18:37:47,P,,,2013/12/15,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,43.886915,-100.716887
-11063306.253,5435036.8057,16018,ELEC,Al's Oasis - Tesla Supercharger,1000 E Dakota Highway 16,,Oacoma,SD,57365,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,43.803197,-99.383371,2021/10/11 00:00:00+00,102409,2021/11/04 18:37:47,P,,,2018/07/23,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,43.803197,-99.383371
-11489570.6245,5481798.751,16019,ELEC,Rushmore Mall - Tesla Supercharger,2200 N. Maple Ave.,,Rapid City,SD,57701,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-9,44.105601,-103.212569,2021/10/11 00:00:00+00,102410,2021/11/04 18:37:47,P,,,2013/12/01,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,44.105601,-103.212569
-10774679.415,5392636.3125,16020,ELEC,Hy-Vee - Tesla Supercharger,1900 South Marion Rd,,Sioux Falls,SD,57106,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,8,,Tesla,https://www.tesla.com/supercharger,200-9,43.527668,-96.790592,2021/10/11 00:00:00+00,102411,2021/11/04 18:37:47,P,,,2018/07/23,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,43.527668,-96.790592
-11565101.0104,5546358.6706,16021,ELEC,Phillips 66 Exit 8 - Tesla Supercharger,3275 Old Belle Rd,,Spearfish,SD,57783,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,6,,Tesla,https://www.tesla.com/supercharger,200-8,44.520573,-103.89107,2021/10/11 00:00:00+00,102412,2021/11/04 18:37:47,P,,,2018/07/23,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,44.520573,-103.89107
-10965998.2126,5696550.8447,19554,ELEC,Best Western Ramkota Hotel - Tesla Destination,1400 8th Ave NW,,Aberdeen,SD,57401,,605-229-4040  877-798-3752,E,,Public,"24 hours daily; see front desk for access",,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,45.474608,-98.509238,2020/11/03 00:00:00+00,115558,2021/03/11 23:22:17,P,,,2015/11/01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,45.474608,-98.509238
-11533582.789,5429058.4899,19555,ELEC,Rock Crest Lodge - Tesla Destination,15 Mt Rushmore Rd,,Custer,SD,57730,,877-412-2246  877-798-3752,E,,Public,"24 hours daily; for customer use only; see front desk for access",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.764425,-103.607937,2020/11/03 00:00:00+00,115559,2021/03/11 23:22:17,P,,,2016/04/01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.764425,-103.607937
-11533202.9669,5429218.4903,19556,ELEC,Rocket Motel - Tesla Destination,211 Mt Rushmore Rd,,Custer,SD,57730,,605-673-4401  877-798-3752,E,,Public,"24 hours daily; see front desk for access",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.765463,-103.604525,2020/11/03 00:00:00+00,115560,2021/03/11 23:22:17,P,,,2016/03/01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.765463,-103.604525
-11534204.397,5428982.036,19557,ELEC,Comfort Inn & Suites Custer - Tesla Destination,339 W Mt Rushmore Rd,,Custer,SD,57730,,605-673-2331  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.763929,-103.613521,2020/11/03 00:00:00+00,115561,2021/03/11 23:22:17,P,,,2018/11/01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.763929,-103.613521
-11532899.9552,5429211.7079,19558,ELEC,Econolodge of Custer - Tesla Destination,342 Mt Rushmore Rd,,Custer,SD,57730,,605-673-4400  877-798-3752,E,,Public,"24 hours daily; for customer use only; see front desk for access",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.765419,-103.601803,2020/11/03 00:00:00+00,115562,2021/03/11 23:22:17,P,,,2015/11/01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.765419,-103.601803
-11532434.6398,5429307.4319,19559,ELEC,Custer Area Chamber of Commerce - Tesla Destination,615 Washington St,,Custer,SD,57730,,605-673-2244  877-798-3752,E,,Public,24 hours daily,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.76604,-103.597623,2020/11/03 00:00:00+00,115565,2021/03/11 23:22:17,P,,,2015/10/01,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,,43.76604,-103.597623
-11533631.5469,5430611.4431,19560,ELEC,Bavarian Inn - Tesla Destination,855  N Fifth St,,Custer,SD,57730,,605-673-2802  877-798-3752,E,,Public,"24 hours daily; for customer use only; see front desk for access",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.774499,-103.608375,2020/11/03 00:00:00+00,115566,2021/03/11 23:22:17,P,,,2015/10/01,,,,,J1772 TESLA,US,,,,Public,,public,,,INN,,,,,,,Free,,,,,,,,,,,43.774499,-103.608375
-11518278.5854,5376959.5054,19561,ELEC,Hot Springs Hills Inn - Tesla Destination,640 S 6th St,,Hot Springs,SD,57747,,605-745-3130  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.425476,-103.470457,2020/11/03 00:00:00+00,115567,2021/03/11 23:22:17,P,,,2018/11/01,,,,,TESLA,US,,,,Public,,public,,,INN,,,,,,,Free,,,,,,,,,,,43.425476,-103.470457
-11514564.1879,5451159.7496,19562,ELEC,Powder House Lodge - Tesla Destination,24125 Highway 16A,,Keystone,SD,57751,,605-666-4646  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.907636,-103.43709,2020/11/03 00:00:00+00,115568,2021/03/11 23:22:17,P,,,2015/10/01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.907636,-103.43709
-11172272.3385,5523067.0919,19563,ELEC,Baymont Inn & Suites Pierre - Tesla Destination,713  W Sioux Ave,,Pierre,SD,57501,,605-224-4140  877-798-3752,E,,Public,"24 hours daily; for customer use only; see front desk for access",,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,44.3712,-100.36223,2020/11/03 00:00:00+00,115569,2021/03/11 23:22:17,P,,,2017/09/01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,44.3712,-100.36223
-10767578.6787,5395891.9857,19564,ELEC,Holiday Inn Sioux Falls-City Centre - Tesla Destination,100 W 8th St,,Sioux Falls,SD,57104,,605-339-2000  877-798-3752,E,,Public,"24 hours daily; for customer use only; see front desk for access",,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.548869,-96.726805,2020/11/03 00:00:00+00,115570,2021/03/11 23:22:17,P,,,2018/11/01,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.548869,-96.726805
-10773356.4942,5392044.453,19565,ELEC,Hampton Inn Sioux Falls - Tesla Destination,2417 S Carolyn Ave,,Sioux Falls,SD,57106,,605-362-1700  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.523813,-96.778708,2020/11/03 00:00:00+00,115571,2021/03/11 23:22:17,P,,,2018/11/01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.523813,-96.778708
-10763833.2231,5395622.1333,19566,ELEC,Super 8 Sioux Falls - Tesla Destination,2616 E 10th St,,Sioux Falls,SD,57103,,605-338-8881  877-798-3752,E,,Public,"24 hours daily; for customer use only; see front desk for access",,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.547112,-96.693159,2020/11/03 00:00:00+00,115572,2021/03/11 23:22:17,P,,,2017/09/01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.547112,-96.693159
-10772447.5705,5386939.7569,19567,ELEC,Hampton Inn & Suites Southwest/Sioux Falls - Tesla Destination,3701  W Avera Dr,,Sioux Falls,SD,57108,,605-271-0992  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.490554,-96.770543,2020/11/03 00:00:00+00,115573,2021/03/11 23:22:17,P,,,2018/11/01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.490554,-96.770543
-10773910.7539,5392877.5195,19568,ELEC,TownePlace Suites Sioux Falls - Tesla Destination,4545 W Homefield Dr,,Sioux Falls,SD,57106,,605-361-2626  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.529239,-96.783687,2020/11/03 00:00:00+00,115574,2021/03/11 23:22:17,P,,,2018/11/01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,43.529239,-96.783687
-11490783.5617,5478805.1746,21483,ELEC,Holiday Inn Rapid City-Rushmore Plaza - Tesla Destination,505 N 5th St,,Rapid City,SD,57701,,605 3484000  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,44.086288,-103.223465,2020/11/03 00:00:00+00,122546,2021/03/11 23:22:17,P,,,2019/03/01,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,44.086288,-103.223465
-11519895.3897,5449763.2219,22203,ELEC,Mount Rushmore National Memorial - Tesla Destination,13000 Hwy 244,,Keystone,SD,57751,,605-574-2515  877-798-3752,E,,Public,24 hours daily,,,,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.898597,-103.484981,2020/11/03 00:00:00+00,124566,2021/03/11 23:22:17,P,,,2019/06/01,,,,,J1772 TESLA,US,,,,Public,,public,,,NATL_PARK,,,,,,,Free,,,,,,,,,,,43.898597,-103.484981
-10755635.0992,5403059.8529,22460,ELEC,SVE LEAF BRANDON SVC CTR,108 N Heritage Rd,,Brandon,SD,57005,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.59552,-96.619514,2022/04/01 00:00:00+00,143246,2022/04/01 00:33:34,,,,2019/08/15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,43.59552,-96.619514
-10790400.3988,5278558.8279,22691,ELEC,COV CITY HALL CITY HALL,25 Center St,,Vermillion,SD,57069,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.780089,-96.931816,2022/04/01 00:00:00+00,143751,2022/04/01 00:33:34,,,,2019/08/16,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,42.780089,-96.931816
-11556861.8096,5540071.8271,22967,ELEC,SPEARFISH HI BUTTE ELECTRIC,305 N 27th St,,Spearfish,SD,57783,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.480292,-103.817056,2022/04/01 00:00:00+00,144995,2022/04/01 00:33:34,,,,2019/09/06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.480292,-103.817056
-11482209.2893,5480477.2283,23234,ELEC,RAPID STATION 1 RAPID STATION 1,4300 Cheyenne Boulevard,,Box Elder,SD,57719,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.097076,-103.146441,2022/04/01 00:00:00+00,145559,2022/04/01 00:33:34,,,,2019/09/27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.097076,-103.146441
-11381545.1888,5464524.548,24584,ELEC,City of Wall Main Street Parking Lot - Tesla Supercharger,418 Main Street,,Wall,SD,57790,,877-798-3752,E,,Public,"24 hours daily; for Tesla use only",,,,,,,8,,Tesla,https://www.tesla.com/supercharger,200-9,43.99407,-102.24216,2021/10/11 00:00:00+00,149363,2021/11/04 18:37:47,P,,,2019/09/30,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,"$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW",,,,,,,,,,,43.99407,-102.24216
-11494151.0876,5468301.6774,24595,ELEC,HORIZON POINT SPACE 2,7001 Mt Rushmore Rd,,Rapid City,SD,57702,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.018475,-103.253716,2022/04/01 00:00:00+00,149379,2022/04/01 00:33:34,,,,2019/11/21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.018475,-103.253716
-11534509.0785,5428912.6731,25099,ELEC,Super 8 Motel Custer - Tesla Destination,535 W Mt Rushmore Rd,,Custer,SD,57730,,605-673-2200  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.763479,-103.616258,2020/11/03 00:00:00+00,150504,2021/03/11 23:22:17,P,,,2019/09/30,,,,,J1772 TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,43.763479,-103.616258
-11534509.0785,5428912.6731,25100,ELEC,Holiday Inn Express & Suites Custer - Tesla Destination,535 W Mt Rushmore Rd,,Custer,SD,57730,,605-673-2500  877-798-3752,E,,Public,"24 hours daily; for customer use only",,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.763479,-103.616258,2020/11/03 00:00:00+00,150505,2021/03/11 23:22:17,P,,,2019/09/30,,,,,J1772 TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,43.763479,-103.616258
-11495723.0302,5483103.8737,26671,ELEC,BHHD DCFAST HOG,2820 Harley Dr,,Rapid City,SD,57702,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.114019,-103.267837,2022/04/01 00:00:00+00,154078,2022/04/01 00:33:34,,,,2020/02/27,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.114019,-103.267837
-11485792.6637,5481439.712,27809,ELEC,MCKIEFORD1 DC FAST,2010 E Mall Dr,,Rapid City,SD,57701,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.103285,-103.178631,2022/04/01 00:00:00+00,156381,2022/04/01 00:33:34,,,,2020/05/20,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.103285,-103.178631
-11546181.1497,5525227.6326,31910,ELEC,CADILLAC JACKS PARKING GARAGE,360 Main St,,Deadwood,SD,57732,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.385072,-103.72111,2022/04/01 00:00:00+00,164805,2022/04/01 00:33:34,,,,2020/08/01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.385072,-103.72111
-11494156.3196,5468300.1294,38212,ELEC,HORIZON POINT SPACE 1,7001 Mt Rushmore Rd,,Rapid City,SD,57702,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.018465,-103.253763,2022/04/01 00:00:00+00,174703,2022/04/01 00:33:34,,,,2021/01/27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.018465,-103.253763
-11494131.8294,5468201.0576,38213,ELEC,BH ENERGY BHE-DEMO,7001 Mt Rushmore Rd,,Rapid City,SD,57702,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.017825,-103.253543,2022/04/01 00:00:00+00,174704,2022/04/01 00:33:34,,,,2021/01/27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.017825,-103.253543
-10771496.5681,5403969.8506,44944,ELEC,J&L NORTH DCFAST HOG,2601 W 60th St N,,Sioux Falls,SD,57107,,888-758-4389,E,,Public,"Mon 10:00am - 6:00pm; Tue 10:00am - 6:00pm; Wed 10:00am - 6:00pm; Thu 10:00am - 6:00pm; Fri 10:00am - 6:00pm; Sat 9:00am - 5:00pm",,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.60144,-96.762,2022/04/01 00:00:00+00,183111,2022/04/01 00:33:34,,,,2021/01/27,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,43.60144,-96.762
-10841543.4672,5293729.4365,46095,ELEC,FPC Yankton,1016 Douglas Ave,,Yankton,SD,57078,,,E,,Private - Government only,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,,,,Non-Networked,,GPS,42.880033,-97.391242,2021/05/06 00:00:00+00,184642,2022/02/10 21:00:18,FG,12,Department of Justice,2021/01/15,,,,,NEMA515,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DOJ,FED_GOV,,,,,,,Free,,,,,,,,,,,42.880033,-97.391242
-10775291.8949,5513111.8868,49941,ELEC,CITY STATION BROOKINGS 1,520 3rd Street,,Brookings,SD,57006,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.307239,-96.796094,2022/04/01 00:00:00+00,191652,2022/04/01 00:33:34,,,,2021/07/01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,44.307239,-96.796094
